"Imigranti dupa tara de emigrare si scopul sosirii , 2011-2018",,,,,,,,
,,,,,,,,
"Tara de emigrare;""2011 Total"";""2011 La munca"";""2011 La studii"";""2011 Imigratie de familie"";""2011 Activitati religioase"," umanitare si de voluntariat"";""2011 Alte cauze/ motive"";""2012 Total"";""2012 La munca"";""2012 La studii"";""2012 Imigratie de familie"";""2012 Activitati religioase"," umanitare si de voluntariat"";""2012 Alte cauze/ motive"";""2013 Total"";""2013 La munca"";""2013 La studii"";""2013 Imigratie de familie"";""2013 Activitati religioase"," umanitare si de voluntariat"";""2013 Alte cauze/ motive"";""2014 Total"";""2014 La munca"";""2014 La studii"";""2014 Imigratie de familie"";""2014 Activitati religioase"," umanitare si de voluntariat"";""2014 Alte cauze/ motive"";""2015 Total"";""2015 La munca"";""2015 La studii"";""2015 Imigratie de familie"";""2015 Activitati religioase"," umanitare si de voluntariat"";""2015 Alte cauze/ motive"";""2016 Total"";""2016 La munca"";""2016 La studii"";""2016 Imigratie de familie"";""2016 Activitati religioase"," umanitare si de voluntariat"";""2016 Alte cauze/ motive"";""2017 Total"";""2017 La munca"";""2017 La studii"";""2017 Imigratie de familie"";""2017 Activitati religioase"," umanitare si de voluntariat"";""2017 Alte cauze/ motive"";""2018 Total"";""2018 La munca"";""2018 La studii"";""2018 Imigratie de familie"";""2018 Activitati religioase"," umanitare si de voluntariat"";""2018 Alte cauze/ motive"""
Republica Ceha;10;3;1;-;6;-;4;2;-;1;-;1;8;3;1;-;1;3;10;5;-;-;-;5;3;-;-;-;1;2;15;3;-;1;-;11;8;-;-;2;1;5;8;2;1;1;2;2,,,,,,,,
China;21;11;6;4;-;-;23;15;3;-;-;5;38;16;6;6;-;10;26;16;6;3;-;1;28;20;5;2;-;1;36;20;11;5;-;-;24;14;5;5;-;-;27;6;6;9;1;5,,,,,,,,
Chile;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Cipru;3;1;-;2;-;-;6;3;-;3;-;-;5;1;-;4;-;-;6;1;4;1;-;-;6;2;1;3;-;-;3;2;-;1;-;-;5;2;1;2;-;-;8;2;1;2;-;3,,,,,,,,
Columbia;5;2;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Congo;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;12;2;10;-;-;-;9;-;9;-;-;-,,,,,,,,
Coreea de Nord;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;6;1;3;2;-;-,,,,,,,,
Coreea de Sud;10;1;6;1;-;2;4;1;3;-;-;-;9;-;9;-;-;-;12;-;8;4;-;-;7;2;4;-;1;-;10;4;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Costa Rica;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;11;1;1;3;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Cote D'Ivoire;2;2;-;-;-;-;4;2;-;2;-;-;3;3;-;-;-;-;6;6;-;-;-;-;8;8;-;-;-;-;15;15;-;-;-;-;2;2;-;-;-;-;5;5;-;-;-;-,,,,,,,,
Croatia;2;1;-;1;-;-;5;-;-;2;-;3;4;2;-;-;-;2;6;5;-;-;-;1;12;9;-;2;-;1;12;7;-;5;-;-;6;3;-;3;-;-;6;6;-;-;-;-,,,,,,,,
Cuba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Danemarca;6;3;-;-;3;-;7;6;-;-;1;-;4;1;1;1;1;-;3;-;-;1;1;1;5;2;2;-;-;1;6;3;1;1;1;-;7;2;-;1;1;3;3;-;1;-;1;1,,,,,,,,
Dubai;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-,,,,,,,,
EAU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-,,,,,,,,
Ecuador;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Egipt;7;3;1;3;-;-;1;1;-;-;-;-;4;3;-;1;-;-;3;1;-;1;-;1;11;2;1;6;-;2;6;4;-;2;-;-;3;-;-;3;-;-;3;-;-;2;-;1,,,,,,,,
Elvetia;4;1;-;1;1;1;9;1;1;2;3;2;11;1;1;3;2;4;8;1;-;1;4;2;3;-;-;1;-;2;8;2;1;-;4;1;6;-;1;1;4;-;5;-;-;-;2;3,,,,,,,,
Estonia;4;2;-;1;1;-;6;-;-;3;2;1;1;-;1;-;-;-;3;1;1;-;1;-;4;-;-;2;-;2;1;-;-;1;-;-;1;-;-;1;-;-;4;-;-;4;-;-,,,,,,,,
Etiopia;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Filipine;5;2;-;-;3;-;4;3;-;-;-;1;2;1;-;-;-;1;3;2;-;-;-;1;1;1;-;-;-;-;2;-;-;1;-;1;3;2;-;1;-;-;3;1;-;2;-;-,,,,,,,,
Finlanda;3;1;-;-;2;-;2;-;-;-;2;-;13;-;12;-;1;-;22;-;21;-;-;1;6;1;4;-;1;-;11;1;7;1;-;2;4;-;2;-;2;-;7;-;4;-;1;2,,,,,,,,
Franta;51;23;4;7;17;-;41;20;-;6;12;3;29;8;-;5;15;1;42;12;-;7;14;9;43;17;-;6;17;3;29;14;-;3;7;5;41;15;-;6;19;1;33;1;-;5;14;13,,,,,,,,
Georgia;26;11;2;12;1;-;31;13;1;13;-;4;31;13;1;13;1;3;23;9;-;14;-;-;31;20;-;10;1;-;24;10;-;13;-;1;24;8;-;13;1;2;22;10;-;10;-;2,,,,,,,,
Germania;41;21;-;6;14;-;68;17;2;9;15;25;55;13;2;5;18;17;59;8;2;6;21;22;40;11;1;5;8;15;47;18;1;7;11;10;41;14;2;4;10;11;41;9;-;7;12;13,,,,,,,,
Ghana;7;4;3;-;-;-;6;1;5;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1,,,,,,,,
Grecia;19;9;1;9;-;-;28;16;1;9;-;2;26;9;4;9;1;3;26;6;14;3;-;3;20;4;7;5;1;3;18;4;4;5;-;5;14;3;1;5;-;5;15;2;1;10;1;1,,,,,,,,
Guinea-Bissa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Guineea;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-,,,,,,,,
Haiti;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Iemen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
India;13;1;8;4;-;-;14;4;3;3;-;4;6;4;1;1;-;-;40;17;20;2;1;-;37;3;34;-;-;-;80;12;62;4;2;-;84;18;64;1;1;-;128;10;106;4;4;4,,,,,,,,
Indonezia;1;-;-;1;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;-;-;-;-;5;4;-;1;-;-;6;6;-;-;-;-;4;4;-;-;-;-,,,,,,,,
Insulele Fiji;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-,,,,,,,,
Iordania;8;2;2;3;-;1;6;1;2;2;-;1;8;2;1;4;-;1;16;1;7;7;-;1;12;2;4;6;-;-;9;3;2;3;-;1;3;-;1;2;-;-;13;-;1;9;-;3,,,,,,,,
Iran;1;1;-;-;-;-;2;1;-;1;-;-;7;-;1;5;-;1;2;1;-;1;-;-;3;2;1;-;-;-;7;4;-;3;-;-;5;4;-;1;-;-;2;-;-;2;-;-,,,,,,,,
Iraq;11;7;1;3;-;-;13;11;1;1;-;-;35;34;-;1;-;-;33;17;13;3;-;-;18;7;8;3;-;-;15;10;1;3;-;1;2;-;1;1;-;-;7;1;4;1;-;1,,,,,,,,
Irlanda;5;-;-;-;5;-;5;2;-;-;-;3;4;-;-;1;2;1;4;-;3;-;-;1;4;-;-;1;3;-;1;-;-;-;-;1;2;-;1;1;-;-;6;1;-;2;1;2,,,,,,,,
Israel;455;8;440;3;4;-;407;10;391;5;1;-;463;12;442;8;-;1;525;9;506;8;2;-;548;7;533;7;1;-;594;8;572;11;3;-;456;4;439;9;4;-;489;8;458;12;5;6,,,,,,,,
Italia;129;85;-;28;16;-;129;80;1;37;7;4;117;66;3;36;5;7;206;131;3;50;16;6;180;93;-;64;16;7;170;108;-;55;4;3;139;64;1;53;12;9;130;28;-;62;11;29,,,,,,,,
Iugoslavia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Japonia;4;2;-;1;1;-;5;4;-;-;-;1;10;2;1;-;-;7;-;-;-;-;-;-;15;4;-;-;1;10;2;2;-;-;-;-;9;6;1;2;-;-;5;3;-;1;-;1,,,,,,,,
Kazahstan;18;2;4;12;-;-;9;-;1;8;-;-;18;3;4;11;-;-;17;2;8;7;-;-;25;5;1;12;6;1;42;2;15;19;6;-;33;4;3;18;5;3;22;4;-;11;7;-,,,,,,,,
Kenya;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Kirghistan;16;-;14;2;-;-;16;-;13;3;-;-;16;2;13;1;-;-;18;-;15;3;-;-;23;-;1;5;17;-;14;1;-;4;9;-;13;1;-;4;8;-;23;3;-;5;15;-,,,,,,,,
Kuwait;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Letonia;7;4;2;1;-;-;5;2;1;2;-;-;9;2;-;4;1;2;14;11;-;2;1;-;9;3;-;4;-;2;6;3;-;2;-;1;4;2;-;1;-;1;6;2;1;1;-;2,,,,,,,,
Liban;14;5;-;9;-;-;11;6;-;5;-;-;15;8;-;7;-;-;13;4;-;9;-;-;23;9;2;12;-;-;14;4;3;6;-;1;17;3;1;13;-;-;11;1;2;6;-;2,,,,,,,,
Liberia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Libia;1;1;-;-;-;-;-;-;-;-;-;-;3;2;-;1;-;-;6;4;-;2;-;-;2;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Liechtenstein;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Lituania;10;4;-;4;2;-;7;1;-;-;2;4;8;3;-;3;1;1;11;9;-;1;1;-;7;1;-;2;1;3;7;3;-;1;-;3;7;1;-;1;-;5;13;1;-;8;-;4,,,,,,,,
Luxemburg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-,,,,,,,,
Macedonia;5;3;-;2;-;-;5;1;-;1;-;3;3;-;-;2;-;1;1;-;-;-;-;1;6;2;-;2;1;1;6;2;-;-;1;3;1;1;-;-;-;-;1;-;-;-;-;1,,,,,,,,
Madagascar;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Malaysia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-,,,,,,,,
Mali;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Malta;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-,,,,,,,,
Marea Britanie;16;5;-;1;10;-;33;13;1;4;7;8;27;8;-;4;10;5;19;3;3;1;6;6;19;5;1;7;-;6;10;3;2;3;1;1;28;3;3;6;11;5;23;3;2;5;3;10,,,,,,,,
Maroc;3;3;-;-;-;-;1;-;1;-;-;-;4;1;3;-;-;-;5;1;2;2;-;-;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;2;1;-,,,,,,,,
Mauritania;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Mexic;7;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;4;2;-;-;2;-;1;-;-;1;-;-,,,,,,,,
Mongolia;-;-;-;-;-;-;3;3;-;-;-;-;2;2;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;3;-;-;3;-;-;3;-;-;3;-;-;-;-;-;-;-;-,,,,,,,,
Muntenegru;1;1;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;1;1;-;-;-;-;1;-;-;1;-;-,,,,,,,,
Myanmar;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Nepal;1;-;1;-;-;-;11;-;10;-;-;1;2;-;-;2;-;-;2;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;2;-;-;2;-;-,,,,,,,,
Nicaragua;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Niger;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Nigeria;25;13;12;-;-;-;15;3;10;-;1;1;12;7;4;1;-;-;2;2;-;-;-;-;2;-;-;2;-;-;12;7;-;4;1;-;5;3;-;2;-;-;6;3;-;3;-;-,,,,,,,,
Norvegia;2;-;1;-;1;-;10;-;-;1;2;7;2;-;-;-;-;2;7;-;2;-;1;4;14;1;4;2;4;3;5;-;1;1;-;3;9;2;5;-;-;2;4;1;2;-;-;1,,,,,,,,
Noua Zeelanda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-,,,,,,,,
Olanda;15;4;-;1;10;-;16;4;-;2;7;3;10;2;-;3;2;3;9;3;1;1;1;3;14;3;-;1;6;4;13;4;1;3;3;2;12;2;3;1;6;-;8;1;1;1;3;2,,,,,,,,
Oman;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Pakistan;8;-;6;2;-;-;2;1;-;1;-;-;10;7;-;3;-;-;14;6;-;8;-;-;8;5;-;3;-;-;10;6;-;4;-;-;1;1;-;-;-;-;7;-;-;4;-;3,,,,,,,,
Palestina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Panama;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Paraguay;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Peru;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;1;-;1;-;-;-,,,,,,,,
Polonia;38;20;3;-;15;-;30;11;2;8;6;3;20;9;5;1;4;1;27;9;4;-;6;8;22;10;1;2;6;3;31;25;-;2;4;-;18;10;1;-;7;-;20;6;-;2;11;1,,,,,,,,
Portugalia;12;8;-;2;2;-;41;38;-;1;2;-;3;-;-;-;2;1;4;3;-;-;1;-;12;8;-;2;1;1;24;12;-;1;-;11;8;4;-;-;1;3;10;6;-;2;1;1,,,,,,,,
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-,,,,,,,,
Rep.Coreea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;3;6;3;-;1;2;-;2;-;-;-,,,,,,,,
Rep.Moldova;1;-;-;1;-;-;9;3;-;6;-;-;1;-;-;1;-;-;2;-;-;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-,,,,,,,,
Romania;360;185;13;121;41;-;445;253;7;142;18;25;600;303;16;164;23;94;852;544;36;161;30;81;646;370;32;159;28;57;464;250;18;134;38;24;427;228;25;135;13;26;450;200;26;125;21;78,,,,,,,,
